Time,C4,C12,RLU,OD,RLU_OD,Phase
0,2,3,68,0.13,523.076923076923,initial
0,2,3,87,0.129,674.418604651163,initial
0,2,4,83,0.13,638.461538461538,initial
0,2,4,91,0.128,710.9375,initial
0,2,4,74,0.133,556.390977443609,initial
0,2,4,70,0.132,530.30303030303,initial
0,2,4,79,0.127,622.047244094488,initial
0,2,5,91,0.131,694.656488549618,initial
0,2,5,77,0.131,587.786259541985,initial
0,2,5,81,0.126,642.857142857143,initial
0,2,5,90,0.123,731.707317073171,initial
0,2,5,102,0.129,790.697674418605,initial
0,3,0,44,0.133,330.827067669173,initial
0,3,0,54,0.126,428.571428571429,initial
0,3,0,40,0.128,312.5,initial
0,3,0,42,0.126,333.333333333333,initial
0,3,0,50,0.133,375.93984962406,initial
0,3,0.1,63,0.128,492.1875,initial
0,3,0.1,68,0.129,527.131782945736,initial
0,3,0.1,62,0.125,496,initial
0,3,0.1,68,0.131,519.083969465649,initial
0,3,0.1,70,0.129,542.635658914729,initial
0,3,0.5,71,0.131,541.984732824428,initial
0,3,0.5,67,0.132,507.575757575758,initial
0,3,0.5,73,0.141,517.730496453901,initial
0,3,0.5,73,0.132,553.030303030303,initial
0,3,0.5,76,0.13,584.615384615385,initial
0,3,1,77,0.13,592.307692307692,initial
0,3,1,77,0.132,583.333333333333,initial
0,3,1,80,0.129,620.15503875969,initial
0,3,1,72,0.127,566.929133858268,initial
0,3,1,71,0.129,550.387596899225,initial
0,3,2,71,0.129,550.387596899225,initial
0,3,2,74,0.13,569.230769230769,initial
0,3,2,79,0.131,603.053435114504,initial
0,3,2,92,0.13,707.692307692308,initial
0,3,2,76,0.129,589.147286821705,initial
0,3,3,73,0.13,561.538461538462,initial
0,3,3,76,0.131,580.152671755725,initial
0,3,3,89,0.131,679.389312977099,initial
0,3,3,67,0.129,519.37984496124,initial
0,3,3,77,0.134,574.626865671642,initial
0,3,4,96,0.131,732.824427480916,initial
0,3,4,76,0.131,580.152671755725,initial
0,3,4,79,0.13,607.692307692308,initial
0,3,4,77,0.13,592.307692307692,initial
0,3,4,84,0.129,651.162790697674,initial
0,3,5,84,0.13,646.153846153846,initial
0,3,5,83,0.137,605.839416058394,initial
0,3,5,82,0.13,630.769230769231,initial
0,3,5,87,0.129,674.418604651163,initial
0,3,5,77,0.13,592.307692307692,initial
0,4,0,44,0.126,349.206349206349,initial
0,4,0,45,0.165,272.727272727273,initial
0,4,0,57,0.227,251.101321585903,initial
0,4,0,46,0.204,225.490196078431,initial
0,4,0,43,0.158,272.151898734177,initial
0,4,0.1,68,0.156,435.897435897436,initial
0,4,0.1,77,0.128,601.5625,initial
0,4,0.1,86,0.126,682.539682539683,initial
0,4,0.1,89,0.128,695.3125,initial
0,4,0.1,94,0.129,728.682170542636,initial
0,4,0.5,74,0.122,606.55737704918,initial
0,4,0.5,75,0.172,436.046511627907,initial
0,4,0.5,68,0.245,277.551020408163,initial
0,4,0.5,72,0.251,286.852589641434,initial
0,4,0.5,66,0.221,298.642533936652,initial
0,4,1,73,0.242,301.652892561983,initial
0,4,1,84,0.221,380.090497737557,initial
0,4,1,63,0.262,240.458015267176,initial
0,4,1,75,0.206,364.077669902913,initial
0,4,1,87,0.127,685.03937007874,initial
0,4,2,86,0.118,728.813559322034,initial
0,4,2,68,0.175,388.571428571429,initial
0,4,2,74,0.2,370,initial
0,4,2,80,0.238,336.134453781513,initial
0,4,2,67,0.236,283.898305084746,initial
0,4,3,79,0.276,286.231884057971,initial
0,4,3,85,0.215,395.348837209302,initial
0,4,3,79,0.208,379.807692307692,initial
0,4,3,78,0.173,450.867052023121,initial
0,4,3,95,0.126,753.968253968254,initial
0,4,4,91,0.129,705.426356589147,initial
0,4,4,78,0.153,509.803921568627,initial
0,4,4,77,0.152,506.578947368421,initial
0,4,4,85,0.145,586.206896551724,initial
0,4,4,76,0.171,444.444444444444,initial
0,4,5,75,0.205,365.853658536585,initial
0,4,5,64,0.235,272.340425531915,initial
0,4,5,64,0.195,328.205128205128,initial
0,4,5,81,0.162,500,initial
0,4,5,81,0.13,623.076923076923,initial
0,5,0,36,0.127,283.464566929134,initial
0,5,0,36,0.153,235.294117647059,initial
0,5,0,42,0.136,308.823529411765,initial
0,5,0,48,0.14,342.857142857143,initial
0,5,0,32,0.166,192.771084337349,initial
0,5,0.1,70,0.159,440.251572327044,initial
0,5,0.1,56,0.188,297.872340425532,initial
0,5,0.1,54,0.149,362.41610738255,initial
0,5,0.1,65,0.128,507.8125,initial
0,5,0.1,70,0.13,538.461538461538,initial
0,5,0.5,84,0.13,646.153846153846,initial
0,5,0.5,76,0.123,617.886178861789,initial
0,5,0.5,75,0.123,609.756097560976,initial
0,5,0.5,76,0.125,608,initial
0,5,0.5,55,0.126,436.507936507937,initial
0,5,1,66,0.129,511.627906976744,initial
0,5,1,61,0.126,484.126984126984,initial
0,5,1,69,0.126,547.619047619048,initial
0,5,1,85,0.122,696.72131147541,initial
0,5,1,81,0.13,623.076923076923,initial
0,5,2,73,0.128,570.3125,initial
0,5,2,68,0.13,523.076923076923,initial
0,5,2,72,0.13,553.846153846154,initial
0,5,2,58,0.129,449.612403100775,initial
0,5,2,75,0.132,568.181818181818,initial
0,5,3,54,0.128,421.875,initial
0,5,3,51,0.129,395.348837209302,initial
0,5,3,44,0.13,338.461538461538,initial
0,5,3,59,0.128,460.9375,initial
0,5,3,60,0.129,465.116279069767,initial
0,5,4,84,0.132,636.363636363636,initial
0,5,4,82,0.13,630.769230769231,initial
0,5,4,84,0.131,641.221374045802,initial
0,5,4,78,0.131,595.419847328244,initial
0,5,4,78,0.132,590.909090909091,initial
0,5,5,90,0.132,681.818181818182,initial
0,5,5,86,0.131,656.488549618321,initial
0,5,5,94,0.131,717.557251908397,initial
0,5,5,84,0.13,646.153846153846,initial
0,5,5,90,0.132,681.818181818182,initial
1,0,0,57,0.158,360.759493670886,initial
1,0,0,43,0.171,251.461988304094,initial
1,0,0,56,0.171,327.485380116959,initial
1,0,0,56,0.171,327.485380116959,initial
1,0,0,56,0.166,337.349397590361,initial
1,0,0,20,0.111,180.18018018018,followup
1,0,0,17,0.113,150.442477876106,followup
1,0,0,19,0.114,166.666666666667,followup
1,0,0,11,0.112,98.2142857142857,followup
1,0,0,14,0.114,122.80701754386,followup
1,0,0,18,0.112,160.714285714286,followup
1,0,0.02,21,0.109,192.660550458716,followup
1,0,0.02,16,0.113,141.592920353982,followup
1,0,0.02,16,0.113,141.592920353982,followup
1,0,0.02,15,0.114,131.578947368421,followup
1,0,0.02,13,0.118,110.169491525424,followup
1,0,0.02,19,0.124,153.225806451613,followup
1,0,0.05,35,0.112,312.5,followup
1,0,0.05,31,0.115,269.565217391304,followup
1,0,0.05,36,0.118,305.084745762712,followup
1,0,0.05,24,0.114,210.526315789474,followup
1,0,0.05,25,0.116,215.51724137931,followup
1,0,0.05,26,0.12,216.666666666667,followup
1,0,0.1,308,0.156,1974.35897435897,initial
1,0,0.1,317,0.155,2045.16129032258,initial
1,0,0.1,348,0.157,2216.56050955414,initial
1,0,0.1,296,0.161,1838.50931677019,initial
1,0,0.1,296,0.144,2055.55555555556,initial
1,0,0.1,20,0.114,175.438596491228,followup
1,0,0.1,28,0.116,241.379310344828,followup
1,0,0.1,22,0.122,180.327868852459,followup
1,0,0.1,30,0.116,258.620689655172,followup
1,0,0.1,19,0.116,163.793103448276,followup
1,0,0.1,35,0.113,309.734513274336,followup
1,0,0.2,74,0.121,611.570247933884,followup
