C4,RhlIPlus,RhlI(C12=0),RhlI(C12=0.4),RhlI(C12=0.8),RhlI(C12=1.2),RhlI(C12=1.6),RhlI(C12=2)
1.072,50439.1325280247,53789.9358257255,109685.265679009,113112.742846695,114350.593863523,114989.095698499,115378.700506671
1.076,50547.5236880153,53798.8695023923,109694.199355676,113121.676523362,114359.52754019,114998.029375165,115387.634183338
1.08,50655.5913497495,53807.7765161022,109703.106369386,113130.583537071,114368.4345539,115006.936388875,115396.541197047
1.084,50763.3369593119,53816.6569860426,109711.986839326,113139.464007012,114377.31502384,115015.816858816,115405.421666988
1.088,50870.7619541808,53825.5110306914,109720.840883975,113148.318051661,114386.169068489,115024.670903465,115414.275711637
1.092,50977.8677632925,53834.3387678226,109729.668621106,113157.145788792,114394.99680562,115033.498640596,115423.103448768
1.096,51084.6558071044,53843.1403145112,109738.470167795,113165.94733548,114403.798352309,115042.300187284,115431.904995456
1.1,51191.1274976578,53851.9157871388,109747.245640423,113174.722808108,114412.573824937,115051.075659912,115440.680468084
1.104,51297.2842386401,53860.6653013983,109755.995154682,113183.472322368,114421.323339196,115059.825174171,115449.429982344
1.108,51403.1274254469,53869.3889722991,109764.718825583,113192.195993268,114430.047010097,115068.548845072,115458.153653244
1.112,51508.6584452426,53878.0869141724,109773.416767456,113200.893935142,114438.74495197,115077.246786946,115466.851595118
1.116,51613.8786770212,53886.7592406757,109782.089093959,113209.566261645,114447.417278473,115085.919113449,115475.523921621
1.12,51718.7894916665,53895.4060647984,109790.735918082,113218.213085768,114456.064102596,115094.565937572,115484.170745744
1.124,51823.3922520115,53904.0274988661,109799.35735215,113226.834519835,114464.685536664,115103.187371639,115492.792179811
1.128,51927.6883128973,53912.6236545457,109807.953507829,113235.430675515,114473.281692343,115111.783527319,115501.388335491
1.132,52031.679021232,53921.1946428504,109816.524496134,113244.00166382,114481.852680648,115120.354515624,115509.959323796
1.136,52135.3657160482,53929.7405741443,109825.070427428,113252.547595113,114490.398611942,115128.900446917,115518.50525509
1.14,52238.7497285607,53938.2615581469,109833.591411431,113261.068579116,114498.919595945,115137.42143092,115527.026239092
1.144,52341.8323822235,53946.7577039383,109842.087557222,113269.564724908,114507.415741736,115145.917576711,115535.522384884
1.148,52444.6149927864,53955.2291199635,109850.558973247,113278.036140933,114515.887157761,115154.388992737,115543.993800909
1.152,52547.0988683505,53963.6759140372,109859.005767321,113286.482935006,114524.333951835,115162.83578681,115552.440594983
1.156,52649.2853094243,53972.0981933482,109867.428046632,113294.905214317,114532.756231146,115171.258066121,115560.862874293
1.16,52751.1756089782,53980.4960644641,109875.825917748,113303.303085433,114541.154102262,115179.655937237,115569.260745409
1.164,52852.7710524993,53988.8696333355,109884.199486619,113311.676654305,114549.527671133,115188.029506109,115577.634314281
1.168,52954.0729180456,53997.219005301,109892.548858585,113320.02602627,114557.877043099,115196.378878074,115585.983686246
1.172,53055.0824762993,54005.5442850911,109900.874138375,113328.35130606,114566.202322889,115204.704157864,115594.308966036
1.176,53155.8009906198,54013.8455768328,109909.175430117,113336.652597802,114574.503614631,115213.005449606,115602.610257778
1.18,53256.229717097,54022.1229840539,109917.452837338,113344.930005023,114582.781021852,115221.282856827,115610.887664999
1.184,53356.3699046029,54030.3766096873,109925.706462971,113353.183630657,114591.034647485,115229.53648246,115619.141290633
1.188,53456.2227948436,54038.6065560753,109933.936409359,113361.413577044,114599.264593873,115237.766428848,115627.371237021
1.192,53555.7896224107,54046.8129249738,109942.142778258,113369.619945943,114607.470962772,115245.972797747,115635.577605919
1.196,53655.0716148321,54054.9958175566,109950.32567084,113377.802838526,114615.653855354,115254.15569033,115643.760498502
1.2,53754.0699926223,54063.1553344194,109958.485187703,113385.962355389,114623.813372217,115262.315207193,115651.920015365
1.204,53852.7859693328,54071.2915755838,109966.621428868,113394.098596553,114631.949613382,115270.451448357,115660.056256529
