N,C4Independent,C12Independent,C4Hierarchy,C12Hierarchy,C4Reciprocal,C12Reciprocal,C4IndependentPlus,C12IndependentPlus,C4HierarchyPlus,C12HierarchyPlus,LasBIndependent,LasBIndependentPlus,LasBHierarchy,LasBHierarchyPlus,LasBReciprocal
0.076,0.00285539292728037,0.00194143605740681,0.0798364830694069,0.00194143605740681,0.126337781406093,0.0556815753289739,0.00319513026230103,0.00269707453143578,0.0811210099406422,0.00269707453143578,1712.03090634727,1715.66833224856,1753.5241964976,1773.57160003405,3398.37279385175
0.078,0.00293127040585722,0.00200821412459871,0.0820741374881123,0.00200821412459871,0.13047985417755,0.0574814624456678,0.003290414794219,0.00282675201155313,0.0834973807289925,0.00282675201155313,1712.37943079605,1716.35023702484,1756.15088384788,1778.27096605193,3478.93056368377
0.08,0.00300718591207213,0.00207603992022851,0.084320406128819,0.00207603992022851,0.134643988921031,0.0592955698102534,0.00338635099457342,0.0029619193379559,0.0858947206643986,0.0029619193379559,1712.73632430107,1717.06678328476,1758.85485851057,1783.22834757975,3560.68991527724
0.082,0.00308313946905923,0.00214493708416547,0.0865754402911026,0.00214493708416547,0.138829304538319,0.0611237584372745,0.00348294543682992,0.0031029138372773,0.0883141430918318,0.0031029138372773,1713.10177637954,1717.82016649295,1761.63730734471,1788.45954549576,3643.60344744181
0.084,0.00315913109996594,0.00221492993369857,0.0888393950082207,0.00221492993369857,0.143034957299877,0.0629658863875221,0.00358020478129413,0.00325009932901295,0.0907568388130775,0.00325009932901295,1713.47598202813,1718.61275693272,1764.49946691486,1793.98168136758,3727.62461926394
0.086,0.00323516082795296,0.00228604348638357,0.0911124291490522,0.00228604348638357,0.147260139204988,0.0648218089953599,0.00367813577651806,0.00340386857790651,0.0932240821659384,0.00340386857790651,1713.85914190977,1719.44711612287,1767.44262475401,1799.8133247287,3812.70777081082
0.088,0.00331122867619431,0.00235830348374204,0.093394705522774,0.00235830348374204,0.151504076421722,0.0666913790941896,0.0037767452607331,0.00356464599510001,0.0957172375733091,0.00356464599510001,1714.25146254761,1720.32601493462,1770.46812068942,1805.9746339545,3898.8081395837
0.09,0.0033873346678773,0.00243173641584514,0.0956863909863187,0.00243173641584514,0.155766027801672,0.0685744472390929,0.00387604016331033,0.00373289061297127,0.0982377665841384,0.00373289061297127,1714.65315652623,1721.2524535854,1773.5773482332,1812.48751219867,3985.88187319955
0.092,0.00346347882620253,0.00250636954681564,0.0979876565546595,0.00250636954681564,0.160045283464853,0.070470861925839,0.00397602750624885,0.00390909936039545,0.100787235424075,0.00390909936039545,1715.06444270052,1722.22968370117,1776.77175603942,1819.37577997864,4073.88603872673
0.094,0.00353966117438392,0.00258223094128326,0.100298677513959,0.00258223094128326,0.164341163450532,0.0723804698055791,0.00407671440569248,0.00409381066682776,0.103367323067234,0.00409381066682776,1715.48554641258,1723.26123265279,1780.0528494298,1826.66536612226,4162.77862905312
0.096,0.00361588173564869,0.00265934949182913,0.102619633537621,0.00265934949182913,0.168653016430158,0.0743031158946542,0.00417810807347573,0.00428760842497122,0.105979829831413,0.00428760842497122,1715.91669971667,1724.35093038478,1783.42219198998,1834.38451890407,4252.51856662294
