M,C4Independent,C12Independent,C4Hierarchy,C12Hierarchy,C4Reciprocal,C12Reciprocal,C4IndependentPlus,C12IndependentPlus,C4HierarchyPlus,C12HierarchyPlus,LasBIndependent,LasBIndependentPlus,LasBHierarchy,LasBHierarchyPlus,LasBReciprocal
1.07,0.0191167980281357,0.232500880873657,1.01704556723057,0.232500880873657,1.09011432608201,0.733839555943963,0.0608064902201155,0.642697914252082,1.08467438290309,0.642697914252082,3418.99597206226,8038.12046176373,12690.2606823317,21021.6342109083,22129.3293656849
1.08,0.0190191730651328,0.230897966564072,1.01139771753396,0.230897966564072,1.08459775767968,0.73077051216321,0.0599051631930167,0.639556286270377,1.0791338035513,0.639556286270377,3405.32116055122,7968.69481249363,12630.1574536862,20966.0457076477,22079.5065156293
1.09,0.0189225394138014,0.229307077589935,1.00580218467574,0.229307077589935,1.07913457742814,0.727724222460204,0.0590282374917259,0.636437234806669,1.07364651577345,0.636437234806669,3391.77247583519,7900.64031564027,12570.2917222822,20910.6101805894,22029.8438743417
1.1,0.0188268820619606,0.227728089607956,1.00025820667574,0.227728089607956,1.07372401749823,0.724700440584107,0.058174808121702,0.633340518179808,1.06821175185027,0.633340518179808,3378.34829823098,7833.9198284959,12510.6626524876,20855.3270440899,21980.340775212
1.11,0.018732186298819,0.22616088008821,0.99476503606925,0.22616088008821,1.06836532467503,0.721698923807532,0.0573440106812913,0.630265898149964,1.06282875867187,0.630265898149964,3365.04703681102,7768.49729831624,12451.2694159564,20800.1957161245,21930.9965554943
1.12,0.0186384377074538,0.224605328282395,0.989321939565226,0.224605328282395,1.0630577600124,0.71871943286388,0.0565350193338005,0.627213139857628,1.05749679739231,0.627213139857628,3351.86712876859,7704.33773963455,12392.1111915787,20745.2156182523,21881.8105562735
1.13,0.0185456221575143,0.22306131519276,0.98392819771421,0.22306131519276,1.05780059849725,0.715761731886006,0.0557470448834057,0.624182011763886,1.05221514309401,0.624182011763886,3338.80703880005,7641.40721054657,12333.1871654335,20690.3861755823,21832.7821224315
1.14,0.0184537257981416,0.221528723541693,0.978583104585561,0.221528723541693,1.05259312872329,0.712825588346179,0.05497933295022,0.621172285591972,1.04698308446159,0.621172285591972,3325.86525850358,7579.67278820677,12274.4965307408,20635.7068167402,21783.910602615
1.15,0.0183627350510962,0.22000743774195,0.97328596745376,0.22000743774195,1.04743465257387,0.709910772997312,0.0542311622399132,0.618183736270036,1.0417999234648,0.618183736270036,3313.04030579382,7519.10254374712,12216.0384878152,20581.1769738347,21735.1953492026
1.16,0.018272636604089,0.218497343867515,0.968036106493463,0.218497343867515,1.04232448491359,0.707017059815429,0.0535018429033853,0.615216141875126,1.03666497505021,0.615216141875126,3300.33072433204,7459.66551680297,12157.8122440196,20526.796082425,21686.6357182726
