C12,LasIPlus,LasI(C4=0),LasI(C4=0.4),LasI(C4=0.8),LasI(C4=1.2),LasI(C4=1.6),LasI(C4=2)
0.376,75010.8832966629,39481.5168210781,90554.2209019797,92124.9238734581,93086.3443755978,93746.3445036027,94229.223860958
0.38,75310.3594669755,39635.9140940678,90708.6181749693,92279.3211464477,93240.7416485874,93900.7417765923,94383.6211339476
0.384,75605.9758983412,39788.32144857,90861.0255294715,92431.7285009499,93393.1490030896,94053.1491310945,94536.0284884498
0.388,75897.8067312022,39938.7771082673,91011.4811891689,92582.1841606473,93543.604662787,94203.6047907919,94686.4841481472
0.392,76185.9242192294,40087.318324103,91160.0224050045,92730.7253764829,93692.1458786226,94352.1460066275,94835.0253639828
0.396,76470.3987889628,40233.9814050282,91306.6854859297,92877.3884574082,93838.8089595479,94498.8090875527,94981.688444908
0.4,76751.2990972032,40378.8017475916,91451.5058284932,93022.2087999716,93983.6293021113,94643.6294301162,95126.5087874715
0.404,77028.6920862546,40521.8138644197,91594.5179453213,93165.2209167997,94126.6414189394,94786.6415469443,95269.5209042996
0.408,77302.6430371106,40663.0514116374,91735.7554925389,93306.4584640174,94267.878966157,94927.8790941619,95410.7584515172
0.412,77573.2156206724,40802.5472152737,91875.2512961753,93445.9542676537,94407.3747697934,95067.3748977983,95550.2542551536
0.416,77840.4719470835,40940.3332966973,92013.0373775988,93583.7403490773,94545.1608512169,95205.1609792219,95688.0403365771
0.42,78104.4726132624,41076.4408971215,92149.144978023,93719.8479495014,94681.2684516411,95341.268579646,95824.1479370013
0.424,78365.2767487075,41210.9005012199,92283.6045821214,93854.3075535999,94815.7280557396,95475.7281837444,95958.6075410997
0.428,78622.9420596491,41343.7418598892,92416.4459407908,93987.1489122692,94948.5694144089,95608.5695424138,96091.448899769
0.432,78877.5248716163,41474.9940121948,92547.6980930963,94118.4010645748,95079.8215667145,95739.8216947193,96222.7010520746
0.436,79129.0801704854,41604.6853065337,92677.3893874352,94248.0923589136,95209.5128610533,95869.5129890582,96352.3923464135
0.44,79377.6616420728,41732.8434210467,92805.5475019482,94376.2504734266,95337.6709755663,95997.6711035712,96480.5504609265
0.444,79623.3217103315,41859.4953833113,92932.1994642128,94502.9024356913,95464.322937831,96124.3230658359,96607.2024231911
0.448,79866.111574209,41984.6675893439,93057.3716702454,94628.0746417238,95589.4951438635,96249.4952718684,96732.3746292237
0.452,80106.0812432209,42108.3858219398,93181.0899028413,94751.7928743197,95713.2133764594,96373.2135044643,96856.0928618196
0.456,80343.279571792,42230.6752683784,93303.3793492799,94874.0823207583,95835.502822898,96495.5029509029,96978.3823082582
0.46,80577.754292414,42351.5605375177,93424.2646184192,94994.9675898976,95956.3880920373,96616.3882200422,97099.2675773975
0.464,80809.5520476683,42471.0656763039,93543.7697572054,95114.4727286839,96075.8932308236,96735.8933588284,97218.7727161837
0.468,81038.7184211577,42589.2141857187,93661.9182666202,95232.6212380986,96194.0417402383,96854.0418682432,97336.9212255985
0.472,81265.2979673904,42706.0290361859,93778.7331170874,95349.4360885659,96310.8565907055,96970.8567187104,97453.7360760657
0.476,81489.3342406586,42821.5326824602,93894.2367633617,95464.9397348402,96426.3602369798,97086.3603649847,97569.23972234
0.48,81710.8698229491,42935.7470780167,94008.4511589182,95579.1541303966,96540.5746325363,97200.5747605412,97683.4541178965
0.484,81929.946350925,43048.6936889614,94121.3977698629,95692.1007413414,96653.5212434811,97313.5213714859,97796.4007288412
0.488,82146.6045420137,43160.3935074814,94233.0975883829,95803.8005598613,96765.221062001,97425.2211900059,97908.1005473612
0.492,82360.884219636,43270.8670648514,94343.5711457529,95914.2741172313,96875.694619371,97535.6947473759,98018.5741047312
0.496,82572.8243376081,43380.1344440149,94452.8385249164,96023.5414963948,96984.9619985345,97644.9621265394,98127.8414838947
0.5,82782.4630037494,43488.2152917552,94560.9193726567,96131.6223441352,97093.0428462749,97753.0429742798,98235.922331635
0.504,82989.8375027254,43595.128830472,94667.8329113736,96238.535882852,97199.9563849917,97859.9565129966,98342.8358703519
0.508,83194.9843181536,43700.8938695787,94773.5979504802,96344.3009219586,97305.7214240983,97965.7215521032,98448.6009094585
0.512,83397.9391540016,43805.5288165338,94878.2328974354,96448.9358689138,97410.3563710535,98070.3564990584,98553.2358564137
0.516,83598.736955303,43909.0516875218,94981.7557684233,96552.4587399018,97513.8792420415,98173.8793700463,98656.7587274016
0.52,83797.4119282153,44011.4801177937,95084.1841986952,96654.8871701736,97616.3076723134,98276.3078003182,98759.1871576735
0.524,83993.9975594464,44112.8313716826,95185.5354525841,96756.2384240626,97717.6589262022,98377.6590542071,98860.5384115624
0.528,84188.5266350701,44213.1223523043,95285.8264332058,96856.5294046843,97817.949906824,98477.9500348289,98960.8293921842
0.532,84381.031258755,44312.3696109554,95385.0736918569,96955.7766633353,97917.197165475,98577.1972934799,99060.0766508352
0.536,84571.542869427,44410.589356219,95483.2934371205,97053.9964085989,98015.4169107386,98675.4170387435,99158.2963960988
0.54,84760.0922583857,44507.7974627895,95580.5015436911,97151.2045151695,98112.6250173092,98772.6251453141,99255.5045026694
0.544,84946.7095858956,44604.0094800263,95676.7135609279,97247.4165324063,98208.837034546,98868.8371625509,99351.7165199062
0.548,85131.4243972682,44699.2406402451,95771.9447211466,97342.647692625,98304.0681947647,98964.0683227696,99446.9476801249
0.552,85314.2656384568,44793.5058667574,95866.2099476589,97436.9129191373,98398.333421277,99058.3335492819,99541.2129066372
0.556,85495.2616711772,44886.8197816669,95959.5238625684,97530.2268340468,98491.6473361865,99151.6474641914,99634.5268215467
0.56,85674.4402875746,44979.1967134305,96051.9007943321,97622.6037658105,98584.0242679502,99244.0243959551,99726.9037533104
0.564,85851.8287244493,45070.650704193,96143.3547850945,97714.057756573,98675.4782587127,99335.4783867176,99818.3577440728
0.568,86027.4536770596,45161.1955169027,96233.8995978042,97804.6025692827,98766.0230714224,99426.0231994273,99908.9025567825
0.572,86201.3413125142,45250.8446422163,96323.5487231179,97894.2516945963,98855.672196736,99515.6723247409,99998.5516820961
0.576,86373.5172827689,45339.6113051996,96412.3153861012,97983.0183575796,98944.4388597193,99604.4389877242,100087.318345079
0.58,86544.0067372424,45427.5084718314,96500.2125527329,98070.9155242113,99032.336026351,99692.3361543559,100175.215511711
0.584,86712.8343350623,45514.5488553169,96587.2529362184,98157.9559076969,99119.3764098366,99779.3765378415,100262.255895197
0.588,86880.0242569551,45600.7449222182,96673.4490031197,98244.1519745981,99205.5724767378,99865.5726047427,100348.451962098
0.592,87045.6002167915,45686.108898406,96758.8129793075,98329.5159507859,99290.9364529256,99950.9365809305,100433.815938286
0.596,87209.5854727996,45770.652774841,96843.3568557425,98414.059827221,99375.4803293607,100035.480457366,100518.359814721
0.6,87372.0028384558,45854.3883131889,96927.0923940904,98497.7953655688,99459.2158677085,100119.215995713,100602.095353069
0.604,87532.8746930653,45937.3270512747,97010.0311321762,98580.7341036546,99542.1546057943,100202.154733799,100685.034091155
0.608,87692.2229920417,46019.4803083829,97092.1843892845,98662.8873607629,99624.3078629026,100284.307990907,100767.187348263
0.612,87850.0692768958,46100.8591904074,97173.5632713089,98744.2662427874,99705.6867449271,100365.686872932,100848.566230287
0.616,88006.4346849436,46181.4745948561,97254.1786757576,98824.8816472361,99786.3021493758,100446.302277381,100929.181634736
0.62,88161.3399587423,46261.337215716,97334.0412966175,98904.7442680959,99866.1647702356,100526.164898241,101009.044255596
0.624,88314.8054552631,46340.4575481821,97413.1616290836,98983.864600562,99945.2851027017,100605.285230707,101088.164588062
0.628,88466.8511548089,46418.8458932553,97491.5499741568,99062.2529456352,100023.673447775,100683.67357578,101166.552933135
0.632,88617.4966696868,46496.5123622134,97569.2164431149,99139.9194145933,100101.339916733,100761.340044738,101244.219402093
0.636,88766.7612526409,46573.4668809585,97646.17096186,99216.8739333385,100178.294435478,100838.294563483,101321.173920838
0.64,88914.6638050551,46649.7191942465,97722.423275148,99293.1262466264,100254.546748766,100914.546876771,101397.426234126
